IARA ID,Dataset,Rain,Temperature,Wind,Sea state,Rain state
1446,E,0,23.1,2.1,1,No rain
1447,E,0,23.3,5.9,3,No rain
1448,E,0,22.7,3.3,2,No rain
1449,E,0,23.3,4.1,2,No rain
1450,E,0,25.8,4,2,No rain
1451,E,0,27.9,4.4,2,No rain
1452,E,0,24.3,5.5,3,No rain
1453,E,0,23.5,9.2,4,No rain
1454,E,0,24.9,2.8,2,No rain
1455,E,0,24.1,3,2,No rain
1456,E,0,21.5,2.9,2,No rain
1457,E,0,28.8,2.9,2,No rain
1458,E,0,26.7,3.3,2,No rain
1459,E,0,26.8,7.3,4,No rain
1460,E,0,25.4,7.4,4,No rain
1461,E,0,25.3,2.1,1,No rain
1462,E,0,26.7,7.9,4,No rain
1463,E,0,25.2,5.5,3,No rain
1464,E,0,24.6,3.2,2,No rain
1465,E,0,24.3,3.6,2,No rain
1466,E,0,24.3,1.7,1,No rain
1467,E,0,24.9,2,1,No rain
1468,E,0,24.4,3.5,2,No rain
1469,E,0,25.2,8.5,4,No rain
1470,E,0,24.7,8.2,4,No rain
1471,E,0,24.8,7.8,4,No rain
1472,E,0,24.2,6.7,3,No rain
1473,E,0,25.5,6.3,3,No rain
1474,E,0,18.9,10.2,5,No rain
1475,E,0,20.2,13.6,6,No rain
1476,E,0,20.1,20,7,No rain
1477,E,0,22.2,1.6,1,No rain
1478,E,0,22.4,2.5,1,No rain
1479,E,0,22.2,3.6,2,No rain
1480,E,0,21,7.3,4,No rain
1481,E,0,17.3,15.1,6,No rain
1482,E,0,21.5,16.4,6,No rain
1483,E,0,17.2,10.1,5,No rain
1484,E,0,29.8,4.9,3,No rain
1485,E,0,24,15.7,6,No rain
1486,E,0,23.8,13.5,6,No rain
1487,E,0,24.8,11.3,5,No rain
1488,E,0,25.2,5.1,3,No rain
1489,E,0,28.2,4.6,3,No rain
1490,E,0,29.1,7.8,4,No rain
1491,E,0,28.7,7,4,No rain
1492,E,0,28.8,5.5,3,No rain
1493,E,0,27.8,4.9,3,No rain
1494,E,0,27.6,4.6,3,No rain
