ID,Dataset,Ship ID,SHIPTYPE,TYPE,DETAILED TYPE,Name,CPA time,Rain,Temperature,Wind,Sea state,Rain state,Length,Width
1,A,1,59,Special Craft,Anchor Handling Vessel,MAERSK PACER,150,0,25.4,2.7,2,No rain,74,17
2,A,2,50,Special Craft,Pilot Vessel,PILOT 10,150,0,26.1,8.1,4,No rain,11,4
3,A,3,59,Special Craft,Offshore Supply Ship,KAN TAN 302,82,0,23.9,4.6,3,No rain,78,18
4,A,4,70,Cargo,Ore Carrier,SINOGLORY,150, - , - , - , - , - ,322,58
5,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,23.3,3.6,2,No rain,12,4
6,A,6,50,Special Craft,Pilot Vessel,PILOT 20,150,0,29.3,5.8,3,No rain,13,5
7,A,6,50,Special Craft,Pilot Vessel,PILOT 20,71,0,27.1,5.7,3,No rain,13,5
8,A,7,70,Cargo,Ro-Ro/Container Carrier,GRANDE ANGOLA,150,0,23.4,4,2,No rain,211,32
9,A,8,80,Tanker,Oil/Chemical Tanker,FAIRCHEM COPPER,150,0,26.2,4.3,2,No rain,159,26
10,A,9,70,Cargo,Bulk Carrier,GDYNIA,150,0,33.1,5.6,3,No rain,190,29
11,A,10,80,Tanker,Oil/Chemical Tanker,CHEM SPARK,150,0,24.2,6.2,3,No rain,160,25
12,A,11,70,Cargo,Bulk Carrier,THREE SASKIAS,150,0,26.7,2.9,2,No rain,229,32
13,A,12,70,Cargo,Container Ship,MSC SILVIA,150,0,25.2,7.7,4,No rain,300,48
14,A,13,70,Cargo,Bulk Carrier,IVORY GULL,150,0,25.8,10,5,No rain,177,28
15,A,14,70,Cargo,Bulk Carrier,FEDRA.GR,150,0,25.3,2,1,No rain,180,30
16,A,15,70,Cargo,Bulk Carrier,LABRADOR,150,0,26,4.9,3,No rain,185,24
17,A,16,50,Special Craft,Pilot Vessel,PILOT 08,150,0,24,2,1,No rain,12,4
18,A,5,50,Special Craft,Pilot Vessel,PILOT 09,150,0,27.9,3.9,2,No rain,12,4
19,A,17,50,Special Craft,Pilot Vessel,RED I,150,0,25.7,7.5,4,No rain,12,3
